round_number,player_count,player_name,policy_version,matches,wins,win_rate_pct,mean_final_tiles,rival_attacks,neutral_boats,builds,social_actions
485,8,odin free,77,4,2,50.0,295185.5,218,141,72,2
485,8,Richard Higgins,7,2,1,50.0,320097.5,176,40,36,22
485,8,daveey,22,4,0,0.0,118063.0,287,104,61,39
485,8,RelhAlpha,3,1,0,0.0,82164.0,39,29,11,5
485,8,Ron @ SWGY,1,3,0,0.0,38268.3,49,154,62,239
485,8,Sefirot,24,4,0,0.0,24485.3,25,0,71,0
485,8,K1Z katanasan,34,2,0,0.0,7873.0,19,42,50,1
485,8,docxology,1,4,0,0.0,600.8,98,24,27,0
485,8,Auri,42,4,0,0.0,30.5,94,60,102,108
485,8,James Boggs,1,3,0,0.0,22.0,43,63,31,410
485,8,Calc,27,1,0,0.0,0.0,0,0,4,8
486,8,Auri,42,4,2,50.0,439592.3,113,7,36,5
486,8,Richard Higgins,7,2,1,50.0,439414.5,64,0,6,5
486,8,odin free,77,4,1,25.0,235032.8,103,38,23,1
486,8,K1Z katanasan,34,2,0,0.0,143503.0,60,0,16,2
486,8,Calc,27,1,0,0.0,84813.0,3,4,15,20
486,8,daveey,22,4,0,0.0,37289.3,75,12,15,1
486,8,Ron @ SWGY,1,3,0,0.0,8166.3,14,32,20,29
486,8,James Boggs,1,3,0,0.0,0.0,53,0,16,8
486,8,RelhAlpha,3,1,0,0.0,0.0,24,0,4,1
486,8,Sefirot,24,4,0,0.0,0.0,58,0,27,0
486,8,docxology,1,4,0,0.0,0.0,76,0,0,0
487,8,daveey,22,4,2,50.0,173112.5,175,41,27,4
487,8,Auri,42,4,1,25.0,85683.8,90,15,30,15
487,8,Sefirot,24,4,0,0.0,90230.3,228,0,63,0
487,8,James Boggs,1,3,0,0.0,45291.7,95,57,23,135
487,8,Richard Higgins,7,2,0,0.0,37162.0,51,0,5,2
487,8,docxology,1,4,0,0.0,15743.8,28,3,4,0
487,8,K1Z katanasan,34,2,0,0.0,2501.0,10,35,33,1
487,8,odin free,77,4,0,0.0,1030.0,69,36,36,45
487,8,Ron @ SWGY,1,3,0,0.0,979.3,61,78,56,86
487,8,Calc,27,1,0,0.0,0.0,0,2,8,35
487,8,RelhAlpha,3,1,0,0.0,0.0,29,0,1,1
488,8,odin free,77,4,2,50.0,264871.3,148,147,66,7
488,8,Auri,42,4,1,25.0,177987.0,91,79,163,70
488,8,daveey,22,4,0,0.0,127354.0,157,117,53,31
488,8,Richard Higgins,7,2,0,0.0,52665.0,166,30,21,13
488,8,Ron @ SWGY,1,3,0,0.0,35427.7,94,161,66,186
488,8,Sefirot,24,4,0,0.0,24485.3,41,0,68,0
488,8,James Boggs,1,3,0,0.0,4280.7,62,78,42,417
488,8,docxology,1,4,0,0.0,516.8,78,43,36,0
488,8,Calc,27,1,0,0.0,0.0,0,0,4,8
488,8,K1Z katanasan,35,1,0,0.0,0.0,1,4,23,1
488,8,RelhAlpha,3,2,0,0.0,0.0,103,12,6,5
489,8,Auri,42,4,2,50.0,479700.5,125,7,40,7
489,8,Richard Higgins,7,2,1,50.0,433110.5,57,0,6,5
489,8,odin free,77,4,1,25.0,244713.3,106,34,28,0
